Maleficent	tt1587310
How to Train Your Dragon 2	tt1646971
Lone Survivor	tt1091191
Kick Ass 2	tt1650554
Mr Peabody and Sherman	tt0864835
Free Birds	tt1621039
Worlds End The	tt1213663
Under the Skin	tt1441395
Wolverine The	tt3315342
Turbo	tt1860353
Despicable Me 2	tt1690953
Thor The Dark World	tt1981115
Pacific Rim	tt1663662
Frozen 	tt2294629
Epic	tt0848537
Amazing Spider Man 2 The	tt1872181
Hunger Games Catching Fire The	tt1951264
Nightmare Before Christmas The	tt0107688
Smurfs 2 The	tt2017020
Percy Jackson Sea of Monsters	tt1854564
RED 2	tt1821694
Now You See Me	tt1670345
Pixels	tt2120120
Captain Phillips	tt1535109
Hangover 3 The	tt1951261
Transformers Age of Extinction	tt2109248
Runaway Jury	tt0313542
Identity Thief	tt2024432
Cloudy with a Chance of Meatballs 2	tt1985966
ABCD 	tt2956300
300 Rise of an Empire	tt1253863
Battle of the Year The Dream Team	tt1532958
21 and Over	tt1711425
Mortal Instruments City of Bones The	tt1538403
Carrie 	tt1939659
LEGO Movie The	tt1490017
This is the End	tt1245492
White House Down	tt2334879
Internship The	tt2234155
Heat The	tt2404463
One Direction This is Us	tt2515086
Runner Runner	tt1790864
All is Lost	tt2017038
Family The	tt2404311
Out of the Furnace	tt1206543
Rush 	tt1979320
Conjuring The	tt1457767
About Time	tt2194499
Jack Ryan Shadow Recruit	tt1205537
To Do List The	tt1758795
Last Vegas	tt1204975
No Good Deed 	tt2011159
Dan in Real Life	tt0480242
Dark Skies	tt2387433
Prisoners	tt1392214
Saving Mr Banks	tt2140373
Machete Kills	tt2002718
Paranormal Activity The Ghost Dimension	tt2473510
Olympus Has Fallen	tt2302755
Getaway	tt2167202
Delivery Man	tt2387559
Last Exorcism Part 2 The	tt2034139
Best Man Holiday The	tt2083355
Purge The	tt2184339
Insidious Chapter 2	tt2226417
Deceptive Practice The Mysteries and Mentors of Ricky Jay	tt2654360
Monuments Men The	tt2177771
Planes	tt1691917
Call The	tt1911644
Book Thief The	tt0816442
Jobs	tt2357129
Kevin Hart Let Me Explain	tt2609912
Tyler Perrys A Madea Christmas	tt2041534
Muppets Most Wanted	tt2281587
College Road Trip	tt0997047
Baggage Claim	tt1171222
Metallica Through the Never	tt2172935
Hercules 	tt1267297
Bean	tt0118689
Counselor The	tt2193215
Fifth Estate The	tt1837703
Grudge Match	tt1661382
23 Blast	tt2304459
Redemption 	tt0111161
Cinco de Mayo La Batalla	tt2553908
Blue Jasmine	tt2334873
Legend of Hercules The	tt1043726
Home Run	tt2051894
Way Way Back The	tt1727388
Yi dai zong shi	tt1462900
Confessions of a Shopaholic	tt1093908
Spectacular Now The	tt1714206
Fruitvale Station	tt2334649
Mandela Long Walk to Freedom	tt2304771
Grace of Monaco	tt2095649
Black Nativity	tt1425922
Aint Them Bodies Saints	tt2388637
American Hustle	tt1800241
Drinking Buddies	tt2265398
Broken Horses	tt2503954
Underdog	tt0467110
12 Years a Slave	tt2024544
Grace Unplugged	tt2349460
Only God Forgives	tt1602613
Stranded	tt2268573
Earth to Echo	tt2183034
Frozen Ground The	tt2005374
Nut Job The	tt1821658
Nebraska	tt1821549
Project Almanac	tt2436386
Heaven is for Real	tt1929263
Devils Due	tt2752758
Face of Love The	tt1839642
Bad Words	tt2170299
Oculus	tt2388715
3 Days to Kill	tt2172934
Her	tt1798709
Yeh Jawaani Hai Deewani	tt2178470
Alvin and the Chipmunks The Road Chip	tt2974918
Non Stop 	tt2024469
Deep Sea 3D	tt0424942
Banshee Chapter	tt2011276
Canyons The	tt2292959
Homefront	tt2312718
Alexander and the Terrible Horrible No Good Very Bad Day	tt1698641
That Awkward Moment	tt1800246
Fifty Shades of Grey	tt2322441
No se Aceptan Devoluciones	tt2378281
vie d Adele La	tt2278871
Jackass Presents Bad Grandpa	tt3063516
Nights in Rodanthe	tt0956038
Dom Hemingway	tt2402105
Plush	tt2226519
Underdogs	tt2123342
Enough Said	tt2390361
Neighbors 	tt2004420
Paranormal Activity The Marked Ones	tt2473682
Million Dollar Arm	tt1647668
Feichang Xingyun	tt2102502
Escape from Tomorrow	tt2187884
Winters Tale	tt1837709
Green Inferno The	tt2403021
Private Parts	tt0119951
Lunchbox The	tt2350496
Last Days on Mars The	tt1709143
Philomena	tt2431286
John Tucker Must Die	tt0455967
50 to 1	tt1777595
Before I Go to Sleep	tt1726592
Begin Again	tt1980929
Christmas Candle The	tt2739338
Walk Among the Tombstones A	tt0365907
Mysteries of Egypt	tt0145921
