tt1277953	Madagascar 3
tt1921064	Pompeii
tt0488120	Fracture
tt0063518	Romeo and Juliet
tt1217209	Brave
tt0770828	Man of Steel
tt0903624	Hobbit An Unexpected Journey The
tt1446192	Rise of the Guardians
tt1408101	Star Trek Into Darkness
tt1453405	Monsters University
tt1673434	Twilight Saga Breaking Dawn Part 2 The
tt1535108	Elysium
tt1345836	Dark Knight Rises The
tt1646987	Wrath of the Titans
tt1606378	Die Hard 5
tt0359950	Secret Life of Walter Mitty The
tt1032817	Middle of Nowhere
tt1517260	Host The
tt1211956	Escape Plan
tt1386703	Total Recall 
tt0486578	First Sunday
tt1454468	Gravity
tt1288558	Evil Dead Remake
tt1343092	Great Gatsby The 
tt1583421	G I Joe Retaliation
tt1300854	Iron Man 3
tt1980209	Pain and Gain
tt1667889	Ice Age Continental Drift
tt1074638	Skyfall
tt1855325	Resident Evil Retribution
tt1772341	Wreck It Ralph
tt1764651	Expendables 2 The
tt1924429	Trance 
tt1605630	American Reunion
tt1621045	Think Like a Man
tt1586265	What to Expect When Your Expecting
tt1790885	Zero Dark Thirty
tt2023587	Mama
tt1483013	Oblivion 
tt1142798	Family That Preys The
tt0263757	Uptown Girls
tt1615065	Savages
tt1905041	Fast and Furious 6
tt1572315	Texas Chainsaw 3D
tt1549920	Last Stand The
tt1663143	Fun Size
tt0325805	Matchstick Men
tt1762399	Walking with Dinosaurs
tt2023453	Diary of a Wimpy Kid Dog Days
tt1024648	Argo
tt0476964	Brave One The
tt0408839	Heartbreak Kid The 
tt1781769	Anna Karenina 
tt1707386	Miserables Les 
tt0152930	Taxi 
tt1815862	After Earth
tt0384793	Accepted
tt0120434	Vegas Vacation
tt1629757	Chasing Mavericks
tt1047540	Parental Guidance
tt1418377	I Frankenstein
tt1588173	Warm Bodies
tt0271668	National Security
tt1922777	Sinister
tt1235522	Broken City
tt1915581	Magic Mike
tt1045658	Silver Linings Playbook
tt1876451	Sparkle 
tt1699755	Peeples
tt0838232	Pink Panther 2 The
tt1859650	To Rome with Love
tt1899353	Serbuan maut
tt2109184	Paranormal Activity 4
tt3402236	Murder on the Orient Express 
tt1840417	Words The
tt2191701	Grown Ups 2
tt0765446	Escape From Planet Earth
tt2083383	Trouble with the Curve
tt1712170	Alex Cross
tt0884732	Ringer The
tt1559547	Beautiful Creatures 
tt1758575	Blue Like Jazz
tt2125435	Beasts of the Southern Wild
tt1862079	Safety Not Guaranteed
tt1996264	For a Good Time Call
tt1855199	End of Watch
tt1792647	Cirque du Soleil Worlds Away
