num,imdb_id,number_of _posters
1190,tt1204342,39
1191,tt1430626,43
1192,tt1748122,54
1193,tt1723811,27
1194,tt1637725,54
1195,tt0431021,33
1196,tt1524137,39
1197,tt1748179,32
1198,tt0084105,2
1199,tt1735898,117
1200,tt1633356,18
1201,tt1630036,6
1202,tt1637688,52
1203,tt0070917,25
1204,tt1636826,40
1205,tt1410063,20
1206,tt1778304,36
1207,tt1446714,101
1208,tt1478964,22
1209,tt1571222,36
1210,tt0104181,4
1211,tt1343727,54
1212,tt1684628,5
1213,tt1614989,32
1214,tt0847055,1
1215,tt1618430,6
1216,tt1307926,7
1217,tt1675192,34
1218,tt0457433,20
1219,tt0119215,8
1220,tt1124035,35
1221,tt0271263,6
1222,tt1549572,18
1223,tt1232200,36
1224,tt0119311,5
1225,tt0088763,79
1226,tt0080491,28
1227,tt1640459,18
1228,tt1706593,53
1229,tt1270262,22
1230,tt1562568,8
1231,tt1441326,25
1232,tt1692486,28
1233,tt1758830,39
1234,tt1390539,7
1235,tt0323642,31
1236,tt1082601,21
1237,tt1623288,51
1238,tt1922612,6
1239,tt1486192,47
1240,tt1667353,51
1241,tt1509803,7
1242,tt1397514,45
1243,tt1646974,19
1244,tt1702439,24
1245,tt1790886,30
1246,tt0387514,12
1247,tt1885265,6
1248,tt1591479,40
1249,tt0461336,2
1250,tt1853728,89
1251,tt1506999,46
1252,tt1832382,29
1253,tt3521126,18
1254,tt0795461,38
1255,tt1714210,7
1256,tt1470020,5
1257,tt1486193,18
1258,tt1976608,1
1259,tt0065895,2
1260,tt0119994,10
1261,tt1719071,17
1262,tt1876517,8
1263,tt1855401,5
1264,tt1027743,5
1265,tt0063227,22
1266,tt1981703,1
1267,tt1298649,44
1268,tt1880418,4
1269,tt1931435,28
1270,tt1904996,33
1271,tt1686018,4
1272,tt0326769,9
1273,tt0337592,7
1274,tt1999192,4
1275,tt1629705,13
1276,tt1308729,41
1277,tt1870529,10
1278,tt1769363,6
1279,tt1212450,46
1280,tt0353774,2
1281,tt1321870,57
1282,tt1333125,31
1283,tt0768212,14
1284,tt1800741,30
1285,tt0119718,8
1286,tt0331468,15
1287,tt0456020,12
1288,tt1742336,14
1289,tt1772230,19
1290,tt1508675,22
1291,tt1534085,7
1292,tt1772250,16
1293,tt1716772,19
1294,tt1720182,6
1295,tt1535616,15
1296,tt1594562,16
1297,tt1307068,30
1298,tt1767382,10
1299,tt1560985,21
1300,tt1764183,23
1301,tt1788391,18
1302,tt0435670,16
1303,tt0314786,12
1304,tt1772408,6
1305,tt1440232,22
1306,tt2035599,5
1307,tt1748207,5
